ID,Title,startTime,endTime,Description,Speakers,Track,Links,Day,Location,Moderator,Investors,Order
31,Executive Roundtable: Evolution or Disruption,10:55 AM,11:30 AM,,"Robert Bogucki, Anju Gupta, Danny Lange, Rahul Kelkar,General Session",,http://aiworldexpo.com/sessions/executive-roundtable-enterprise-challenges-ai-adoption/,Tuesday,Cyril Magnin Ballroom,Mark Bunger,,
32,"Keynote: Rob High, IBM Fellow, Vice President and Chief Technology Officer, IBM Watson",11:30 AM,11:50 AM,,Rob High,Keynote,http://aiworldexpo.com/sessions/keynote-rob-high-ibm-fellow-vice-president-chief-technology-officer-ibm-watson/,Tuesday,Cyril Magnin Ballroom,,,
33,Keynote: Accelerating Industrial IoT with Artificial Intelligence,11:50 AM,12:15 PM,"An innovative technology leader with over 23 years proven track record of building core big data/data science competencies and leading high performance teams from the ground-up scaling 0 to 150+ geographically distributed global teams with a sharp focus on strategy and successful execution of industrial scale data science products and services. Experienced at recognized international organizations British Telecom, E*trade, Thomson Reuters, Bank of America and also, Silicon Valley startups, in engineering and management positions. She holds a Masters in Computer Science and MBA in Finance. Beena is dedicated to supporting diversity in technology both within GE and beyond. Outside of GE, she is on the Board of Directors for the non-profit organization, ChickTech.",Beena Ammanath,Keynote,http://aiworldexpo.com/sessions/keynote-4/,Tuesday,Cyril Magnin Ballroom,,,
34,Conference Luncheon and Network with Exhibitors,12:15 PM,1:30 PM,Lunch sponsored by pwc,,Lunch,,Tuesday,Cyril Magnin Ballroom,,,
35,Finding the Best Applications for AI and Machine Learning1:30 PM,1:30 PM,2:15 PM,"There are hundreds of AI and machine learning vendors promoting thousands of potential business applications for machine learning and associated technologies.  In addition, as enterprises move their workforce to the cloud, the major cloud vendors have been integrating machine learning software into their cloud offerings.","David Linthicum, Matt Zeiler, Jai Malhotra, Adam Devine",Deploying AI Business Systems,,Tuesday,Cyril Magnin 1,Cirrus Shakeri,,
36,How AI is Shaping the Future of the Auto & Transportation Industries,1:30 PM,2:15 PM,"Once a domain solely of human control, AI has found a place “behind the wheel” of personal and public transportation.  Learn how AI is powering this change, the obstacles it faces and what’s on the horizon of intelligent transportation.","Maryanna Saenko, Danny Shapiro",Industry Applications,http://aiworldexpo.com/sessions/ai-future-automotive-transportation/,Tuesday,Cyril Magnin 2,Mark Bunger,,
37,State of Machine Learning 3.0,1:30 PM,2:15 PM,"For the past two years, Shivon Ziis and Bloomberg Data has published their fall update on the state of machine intelligence. To date, this landscape has become the the industry’s leading comprehensive analysis on the entire landscape of the machine intelligence industry. Join authors Shivon Zilis and James Cham for as they discuss the current state-of-the-market of their latest report, Machine Intelligence 3.0.","James Chan, Shivon Zilis",The Technologies of Enterprise AI,http://aiworldexpo.com/sessions/state-of-machine-learning-3-0-ai/,Tuesday,Cyril Magnin 3,,,
38,AI in Industry,2:15 PM,3:00 PM,"David Schubmehl moderates this panel of end-users and solution providers and will uncover a variety of innovative AI and machine learning applications being used in various industries, the technologies and platforms used, and also what approach these companies are using to deploy an enterprise implementation process.","Andrea L. Cardozo, JP (Jean-Pierre) Abello, David Parsin, Joseph Voyles, Reynold Xin",,http://aiworldexpo.com/sessions/ai-in-industry/,Tuesday,Cyril Magnin 2,David Schubmehl,,
39,Advances in Machine Learning,2:15 PM,3:00 PM,"Advances in machine learning, deep learning and neural networks are transforming data management and decision making in almost every industry sector from retail to security and healthcare. These experts will discuss real world implementation challenges.","Derek Collison, Neil Eklund, Jennifer Marsman, Samir Vasavada",The Technologies of Enterprise AI,http://aiworldexpo.com/sessions/panel-advances-machine-learning/,Tuesday,Cyril Magnin 2,Clint Wheelock,,
40,Driving Deep Learning Adoption Within the Enterprise,2:15 PM,3:00 PM,"Deep learning is in the early stages of unlocking tremendous economic value. While the algorithms have revolutionized consumer experiences in domains as varied as speech interfaces, image search and language translation, enterprises are still relatively early in their adoption of deep learning algorithms to solve broader business problems. The panelists will discuss the challenges of adopting deep learning based solutions within the enterprise and the need for a platform-based approach to AI deployment. ","Fiaz Mohamed, Anju Gupta",Deploying AI Business Systems,,Tuesday,Cyril Magnin 1,,,
